Assembly	scaffolds_LengthFilter_75
# contigs (>= 0 bp)	289
# contigs (>= 1000 bp)	124
# contigs (>= 5000 bp)	94
# contigs (>= 10000 bp)	80
# contigs (>= 25000 bp)	54
# contigs (>= 50000 bp)	32
Total length (>= 0 bp)	4371727
Total length (>= 1000 bp)	4304197
Total length (>= 5000 bp)	4231001
Total length (>= 10000 bp)	4138163
Total length (>= 25000 bp)	3693008
Total length (>= 50000 bp)	2909673
# contigs	148
Largest contig	209097
Total length	4321793
GC (%)	65.42
N50	65136
N90	17421
auN	83960.7
L50	19
L90	64
# N's per 100 kbp	6.94
