Assembly	scaffolds_SlidingWindow_20nt_q15
# contigs (>= 0 bp)	267
# contigs (>= 1000 bp)	116
# contigs (>= 5000 bp)	85
# contigs (>= 10000 bp)	74
# contigs (>= 25000 bp)	52
# contigs (>= 50000 bp)	33
Total length (>= 0 bp)	4390654
Total length (>= 1000 bp)	4328646
Total length (>= 5000 bp)	4253216
Total length (>= 10000 bp)	4174859
Total length (>= 25000 bp)	3786471
Total length (>= 50000 bp)	3101883
# contigs	133
Largest contig	209097
Total length	4341109
GC (%)	65.47
N50	70975
N90	20679
auN	88972.2
L50	18
L90	58
# N's per 100 kbp	9.21
