Assembly	scaffolds_SlidingWindow_7nt_q20
# contigs (>= 0 bp)	241
# contigs (>= 1000 bp)	129
# contigs (>= 5000 bp)	94
# contigs (>= 10000 bp)	81
# contigs (>= 25000 bp)	53
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	4371385
Total length (>= 1000 bp)	4327337
Total length (>= 5000 bp)	4242817
Total length (>= 10000 bp)	4147332
Total length (>= 25000 bp)	3678462
Total length (>= 50000 bp)	2876410
# contigs	147
Largest contig	196013
Total length	4341043
GC (%)	65.48
N50	65416
N90	16973
auN	82536.2
L50	20
L90	65
# N's per 100 kbp	11.75
