Assembly	scaffolds_SlidingWindow_20nt_q30
# contigs (>= 0 bp)	214
# contigs (>= 1000 bp)	142
# contigs (>= 5000 bp)	107
# contigs (>= 10000 bp)	90
# contigs (>= 25000 bp)	56
# contigs (>= 50000 bp)	33
Total length (>= 0 bp)	4347271
Total length (>= 1000 bp)	4314720
Total length (>= 5000 bp)	4232602
Total length (>= 10000 bp)	4115447
Total length (>= 25000 bp)	3542962
Total length (>= 50000 bp)	2730004
# contigs	162
Largest contig	161570
Total length	4329517
GC (%)	65.46
N50	64262
N90	16677
auN	69322.8
L50	23
L90	74
# N's per 100 kbp	10.16
