Assembly	scaffolds_SlidingWindow_10nt_q15
# contigs (>= 0 bp)	265
# contigs (>= 1000 bp)	116
# contigs (>= 5000 bp)	85
# contigs (>= 10000 bp)	73
# contigs (>= 25000 bp)	51
# contigs (>= 50000 bp)	33
Total length (>= 0 bp)	4389356
Total length (>= 1000 bp)	4329844
Total length (>= 5000 bp)	4255285
Total length (>= 10000 bp)	4167481
Total length (>= 25000 bp)	3778030
Total length (>= 50000 bp)	3132466
# contigs	134
Largest contig	209097
Total length	4342725
GC (%)	65.48
N50	74525
N90	20679
auN	89809.8
L50	18
L90	57
# N's per 100 kbp	11.51
