Assembly	scaffolds_SlidingWindow_7nt_q30
# contigs (>= 0 bp)	233
# contigs (>= 1000 bp)	157
# contigs (>= 5000 bp)	117
# contigs (>= 10000 bp)	98
# contigs (>= 25000 bp)	60
# contigs (>= 50000 bp)	30
Total length (>= 0 bp)	4335609
Total length (>= 1000 bp)	4300746
Total length (>= 5000 bp)	4199654
Total length (>= 10000 bp)	4065929
Total length (>= 25000 bp)	3429310
Total length (>= 50000 bp)	2345070
# contigs	185
Largest contig	161559
Total length	4320706
GC (%)	65.44
N50	53760
N90	15315
auN	60801.3
L50	27
L90	84
# N's per 100 kbp	10.41
