Assembly	scaffolds_LengthFilter_250
# contigs (>= 0 bp)	666
# contigs (>= 1000 bp)	184
# contigs (>= 5000 bp)	133
# contigs (>= 10000 bp)	111
# contigs (>= 25000 bp)	67
# contigs (>= 50000 bp)	24
Total length (>= 0 bp)	4431464
Total length (>= 1000 bp)	4303578
Total length (>= 5000 bp)	4164801
Total length (>= 10000 bp)	4008270
Total length (>= 25000 bp)	3257340
Total length (>= 50000 bp)	1749685
# contigs	214
Largest contig	146203
Total length	4325740
GC (%)	65.42
N50	41434
N90	14197
auN	48253.2
L50	34
L90	102
# N's per 100 kbp	16.41
