Assembly	scaffolds_SlidingWindow_7nt_q15
# contigs (>= 0 bp)	262
# contigs (>= 1000 bp)	116
# contigs (>= 5000 bp)	87
# contigs (>= 10000 bp)	75
# contigs (>= 25000 bp)	52
# contigs (>= 50000 bp)	33
Total length (>= 0 bp)	4386621
Total length (>= 1000 bp)	4327662
Total length (>= 5000 bp)	4255412
Total length (>= 10000 bp)	4167619
Total length (>= 25000 bp)	3765083
Total length (>= 50000 bp)	3093440
# contigs	134
Largest contig	209097
Total length	4341074
GC (%)	65.47
N50	70975
N90	20667
auN	88621.3
L50	18
L90	59
# N's per 100 kbp	11.52
