Assembly	scaffolds_SlidingWindow_4nt_q20
# contigs (>= 0 bp)	216
# contigs (>= 1000 bp)	134
# contigs (>= 5000 bp)	97
# contigs (>= 10000 bp)	82
# contigs (>= 25000 bp)	52
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	4355072
Total length (>= 1000 bp)	4319784
Total length (>= 5000 bp)	4232045
Total length (>= 10000 bp)	4125920
Total length (>= 25000 bp)	3621718
Total length (>= 50000 bp)	2885445
# contigs	154
Largest contig	196013
Total length	4334393
GC (%)	65.47
N50	66370
N90	16891
auN	82167.8
L50	19
L90	66
# N's per 100 kbp	6.92
